klant_id,budgetbucket_id,jaar,budget_omzet,latest_estimate_omzet
1,1,2026,43964.93,44005.53
1,2,2026,37048.74,34114.52
1,3,2026,33773.87,32764.1
1,4,2026,41230.17,43839.27
1,5,2026,39302.49,41814.33
1,6,2026,38685.53,38137.85
1,7,2026,33503.63,31510.56
1,8,2026,40726.06,41056.23
1,9,2026,45227.85,44161.05
1,10,2026,36424.84,36084.56
1,11,2026,32240.35,31703.78
1,12,2026,37480.41,35645.93
2,1,2026,43373.75,42226.08
2,2,2026,41907.05,39193.79
2,3,2026,34204.62,32193.9
2,4,2026,36952.47,35213.78
2,5,2026,43172.56,43688.41
2,6,2026,38761.47,36622.46
2,7,2026,38208.01,36428.88
2,8,2026,42243.93,44137.22
2,9,2026,42400.35,46639.62
2,10,2026,40952.18,41285.35
2,11,2026,34306.39,33504.46
2,12,2026,39286.6,36522.79
3,1,2026,35143.45,35397.52
3,2,2026,26134.32,25849.72
3,3,2026,30497.17,31642.42
3,4,2026,28682.19,28926.29
3,5,2026,32265.87,32262.43
3,6,2026,25802.45,26364.21
3,7,2026,33286.64,31945.03
3,8,2026,24200.45,23243.85
3,9,2026,27247.99,28897.4
3,10,2026,30545.61,32349.59
3,11,2026,29708.2,30063.07
3,12,2026,30629.7,29656.29
4,1,2026,40424.89,39860.36
4,2,2026,40415.27,37484.75
4,3,2026,38931.45,39645.59
4,4,2026,42808.8,40173.27
4,5,2026,40522.08,42760.61
4,6,2026,32899.52,36185.4
4,7,2026,35076.25,34470.97
4,8,2026,40331.05,40292.03
4,9,2026,42868.68,45424.24
4,10,2026,32029.49,34141.08
4,11,2026,37054.93,36429.2
4,12,2026,38813.66,40129.39
5,1,2026,24526.94,26029.78
5,2,2026,26377.41,28091.4
5,3,2026,24094.96,24475.91
5,4,2026,24346.06,23136.25
5,5,2026,27928.72,27165.55
5,6,2026,24119.91,26325.23
5,7,2026,23573.14,25506.8
5,8,2026,26392.88,24925.59
5,9,2026,25782.68,25630.24
5,10,2026,19306.22,18725.45
5,11,2026,24899.56,26051.33
5,12,2026,19994.4,18921.18
6,1,2026,32305.79,34149.33
6,2,2026,30566.88,30814.55
6,3,2026,29438.32,28507.16
6,4,2026,27574.31,27611.77
6,5,2026,30080.24,32439.21
6,6,2026,23906.49,24212.74
6,7,2026,26020.98,28324.89
6,8,2026,27058.58,29522.15
6,9,2026,26581.37,24466.69
6,10,2026,31685.06,33329.21
6,11,2026,31191.61,31270.24
6,12,2026,30428.79,29956.54
7,1,2026,22449.29,22260.47
7,2,2026,23834.07,25466.05
7,3,2026,20032.56,19594.16
7,4,2026,18337.25,18676.78
7,5,2026,17108.67,18365.06
7,6,2026,22390.08,24202.51
7,7,2026,22180.9,20589.86
7,8,2026,21088.22,22577.18
7,9,2026,16190.74,17604.16
7,10,2026,17328.61,17366.27
7,11,2026,24024.46,23952.48
7,12,2026,24055.42,26068.7
8,1,2026,36184.4,38984.94
8,2,2026,45218.92,42361.14
8,3,2026,37105.1,34687.17
8,4,2026,41885.01,43426.55
8,5,2026,32253.28,33305.02
8,6,2026,42851.45,45248.64
8,7,2026,38186.54,35758.48
8,8,2026,32935.45,31565.86
8,9,2026,32664.37,33541.81
8,10,2026,39604.66,39609.1
8,11,2026,31565.94,30992.81
8,12,2026,33334.89,35830.38
9,1,2026,34747.63,32410.82
9,2,2026,38836.41,40837.94
9,3,2026,34262.84,33454.35
9,4,2026,46950.9,44353.73
9,5,2026,45198.53,47710.14
9,6,2026,34763.46,38195.63
9,7,2026,34921.65,35462.64
9,8,2026,32731.71,33942.9
9,9,2026,39765.81,41755.6
9,10,2026,42829.29,40569.93
9,11,2026,39303.15,41016.06
9,12,2026,46608.24,43606.85
10,1,2026,18226.06,17172.02
10,2,2026,23250.94,22862.1
10,3,2026,20690.62,21981.59
10,4,2026,19143.95,19833.74
10,5,2026,19147.19,19686.75
10,6,2026,23175.74,22510.27
10,7,2026,25050.29,23167.22
10,8,2026,24247.93,26130.75
10,9,2026,18783.34,19332.69
10,10,2026,18640.26,18463.46
10,11,2026,22536.9,23913.55
10,12,2026,23794.05,22915.61
