klantartikel_id,klant_id,klantartikelgroep_id,artikel_code,artikel_omschrijving,etiket_id,formaatgroep_id,droogtechniek_id,artikelpapier_id,tussensnee_id,bewerkingscenario_id
1,1,1,ART-0001,Label product 1,1,3,2,1,1,2
2,1,1,ART-0002,Label product 2,1,3,2,1,1,1
3,1,2,ART-0003,Label product 3,2,3,3,1,1,5
4,2,4,ART-0004,Label product 4,2,2,3,2,1,2
5,2,4,ART-0005,Label product 5,3,2,1,1,2,1
6,2,1,ART-0006,Label product 6,4,1,2,2,2,1
7,3,4,ART-0007,Label product 7,1,2,1,3,2,5
8,3,3,ART-0008,Label product 8,2,3,1,1,1,3
9,3,1,ART-0009,Label product 9,2,1,2,2,2,3
10,4,2,ART-0010,Label product 10,3,2,1,3,2,1
11,4,2,ART-0011,Label product 11,2,1,2,2,2,5
12,4,2,ART-0012,Label product 12,3,1,1,1,2,4
13,5,3,ART-0013,Label product 13,1,1,3,3,2,2
14,5,4,ART-0014,Label product 14,4,3,2,1,2,2
15,5,2,ART-0015,Label product 15,3,3,3,2,2,3
16,6,2,ART-0016,Label product 16,2,3,2,1,1,1
17,6,2,ART-0017,Label product 17,2,3,2,3,1,4
18,6,4,ART-0018,Label product 18,4,3,2,3,1,1
19,7,3,ART-0019,Label product 19,3,1,2,2,1,4
20,7,1,ART-0020,Label product 20,3,3,1,3,1,3
21,7,2,ART-0021,Label product 21,2,2,1,3,1,5
22,8,3,ART-0022,Label product 22,4,1,1,2,2,2
23,8,1,ART-0023,Label product 23,2,3,1,1,2,1
24,8,2,ART-0024,Label product 24,2,3,2,3,1,3
25,9,4,ART-0025,Label product 25,2,3,3,3,1,3
26,9,4,ART-0026,Label product 26,3,2,3,2,1,2
27,9,2,ART-0027,Label product 27,1,2,1,3,1,5
28,10,2,ART-0028,Label product 28,1,1,3,3,1,2
29,10,1,ART-0029,Label product 29,1,2,1,3,1,3
30,10,4,ART-0030,Label product 30,2,3,1,3,2,2
