verkooporder_id,order_nummer,klant_id,medewerker_id,vestiging_id,order_datum,status
1,VO-00001,1,1,1,2026-07-26,Bevestigd
2,VO-00002,2,2,1,2026-01-14,Gefactureerd
3,VO-00003,4,1,2,2026-02-18,Gefactureerd
4,VO-00004,9,3,3,2026-08-03,Open
5,VO-00005,5,2,3,2026-08-20,Open
6,VO-00006,3,3,2,2026-05-03,Gefactureerd
7,VO-00007,5,2,3,2026-05-29,Gefactureerd
8,VO-00008,2,2,1,2026-06-21,Gefactureerd
9,VO-00009,2,2,1,2026-01-19,Gefactureerd
10,VO-00010,6,3,3,2026-01-27,Gefactureerd
11,VO-00011,1,1,1,2026-05-10,Gefactureerd
12,VO-00012,5,2,3,2026-06-13,Gefactureerd
13,VO-00013,8,2,2,2026-05-30,Gefactureerd
14,VO-00014,10,1,1,2026-08-14,Bevestigd
15,VO-00015,6,3,3,2026-08-12,Open
16,VO-00016,2,2,1,2026-05-29,Gefactureerd
17,VO-00017,4,1,2,2026-06-25,Gefactureerd
18,VO-00018,2,2,1,2026-06-20,Bevestigd
19,VO-00019,8,2,2,2026-05-11,Gefactureerd
20,VO-00020,4,1,2,2026-02-07,Open
21,VO-00021,5,2,3,2026-02-07,Gefactureerd
22,VO-00022,4,1,2,2026-07-25,Gefactureerd
23,VO-00023,5,2,3,2026-04-26,Bevestigd
24,VO-00024,3,3,2,2026-08-17,Gefactureerd
25,VO-00025,6,3,3,2026-04-10,Gefactureerd
26,VO-00026,7,1,1,2026-08-07,Gefactureerd
27,VO-00027,8,2,2,2026-01-07,Open
28,VO-00028,9,3,3,2026-07-19,Gefactureerd
29,VO-00029,3,3,2,2026-03-03,Bevestigd
30,VO-00030,6,3,3,2026-06-05,Gefactureerd
31,VO-00031,6,3,3,2026-08-21,Gefactureerd
32,VO-00032,5,2,3,2026-07-30,Gefactureerd
33,VO-00033,1,1,1,2026-03-04,Gefactureerd
34,VO-00034,1,1,1,2026-07-02,Gefactureerd
35,VO-00035,8,2,2,2026-04-05,Gefactureerd
36,VO-00036,8,2,2,2026-05-04,Bevestigd
37,VO-00037,10,1,1,2026-01-27,Gefactureerd
38,VO-00038,4,1,2,2026-01-22,Gefactureerd
39,VO-00039,7,1,1,2026-04-08,Gefactureerd
40,VO-00040,9,3,3,2026-03-16,Open
41,VO-00041,3,3,2,2026-07-31,Bevestigd
42,VO-00042,9,3,3,2026-04-23,Bevestigd
43,VO-00043,6,3,3,2026-05-31,Gefactureerd
44,VO-00044,9,3,3,2026-08-08,Bevestigd
45,VO-00045,5,2,3,2026-05-08,Gefactureerd
46,VO-00046,6,3,3,2026-05-05,Bevestigd
47,VO-00047,6,3,3,2026-05-08,Gefactureerd
48,VO-00048,4,1,2,2026-03-29,Gefactureerd
49,VO-00049,9,3,3,2026-06-28,Bevestigd
50,VO-00050,3,3,2,2026-08-22,Gefactureerd
51,VO-00051,7,1,1,2026-08-07,Gefactureerd
52,VO-00052,5,2,3,2026-01-12,Bevestigd
53,VO-00053,6,3,3,2026-06-24,Gefactureerd
54,VO-00054,10,1,1,2026-03-07,Gefactureerd
55,VO-00055,1,1,1,2026-08-01,Gefactureerd
56,VO-00056,3,3,2,2026-06-23,Gefactureerd
57,VO-00057,10,1,1,2026-03-25,Gefactureerd
58,VO-00058,2,2,1,2026-07-26,Bevestigd
59,VO-00059,2,2,1,2026-04-27,Bevestigd
60,VO-00060,7,1,1,2026-03-19,Gefactureerd
61,VO-00061,3,3,2,2026-03-02,Gefactureerd
62,VO-00062,1,1,1,2026-01-26,Gefactureerd
63,VO-00063,7,1,1,2026-01-13,Gefactureerd
64,VO-00064,2,2,1,2026-07-21,Gefactureerd
65,VO-00065,10,1,1,2026-01-29,Gefactureerd
66,VO-00066,7,1,1,2026-02-14,Bevestigd
67,VO-00067,8,2,2,2026-01-12,Gefactureerd
68,VO-00068,8,2,2,2026-06-09,Gefactureerd
69,VO-00069,6,3,3,2026-03-28,Gefactureerd
70,VO-00070,4,1,2,2026-02-01,Bevestigd
71,VO-00071,10,1,1,2026-06-07,Gefactureerd
72,VO-00072,9,3,3,2026-06-29,Gefactureerd
73,VO-00073,9,3,3,2026-07-04,Bevestigd
74,VO-00074,1,1,1,2026-04-24,Gefactureerd
