verkooporderregel_id,verkooporder_id,klantartikel_id,aantal,prijs_per_eenheid,regel_omzet,meters,vellen
1,1,3,178,2.39,425.42,176.76,240
2,2,5,113,3.49,394.37,171.85,88
3,3,10,56,1.83,102.48,41.98,116
4,3,12,216,3.99,861.84,252.82,147
5,4,27,227,1.67,379.09,219.96,311
6,5,15,109,1.78,194.02,163.25,145
7,5,13,188,4.34,815.92,337.2,280
8,5,15,134,1.37,183.58,109.26,288
9,5,14,198,2.81,556.38,286.54,137
10,6,7,140,1.1,154.0,92.42,217
11,6,9,230,1.67,384.1,130.6,466
12,7,14,178,2.96,526.88,201.48,373
13,8,4,111,1.28,142.08,144.71,148
14,8,4,249,1.07,266.43,259.36,547
15,9,5,248,2.09,518.32,123.08,246
16,9,6,50,2.42,121.0,58.03,54
17,9,4,145,0.83,120.35,223.87,156
18,10,17,39,4.09,159.51,56.14,33
19,10,18,164,1.58,259.12,144.33,279
20,11,1,172,2.37,407.64,135.42,104
21,12,15,123,2.84,349.32,122.85,76
22,12,14,236,3.36,792.96,143.65,155
23,13,22,20,1.94,38.8,33.17,37
24,13,23,240,2.12,508.8,325.17,400
25,13,22,209,2.87,599.83,339.54,451
26,13,23,49,4.23,207.27,35.84,42
27,14,30,246,2.03,499.38,418.97,463
28,14,28,217,1.72,373.24,135.16,374
29,15,18,61,3.82,233.02,63.71,66
30,15,18,67,0.89,59.63,44.92,75
31,15,16,207,1.83,378.81,268.7,257
32,15,17,94,4.28,402.32,52.78,202
33,16,6,37,3.01,111.37,32.71,69
34,16,4,165,4.44,732.6,92.71,336
35,16,5,75,0.96,72.0,75.79,107
36,17,12,120,1.06,127.2,159.59,135
37,17,10,179,3.94,705.26,251.97,193
38,18,4,85,2.85,242.25,56.83,141
39,18,5,183,3.57,653.31,117.79,276
40,18,5,150,3.88,582.0,123.81,140
41,18,4,165,3.22,531.3,173.41,216
42,19,22,31,1.85,57.35,41.21,49
43,19,23,219,4.32,946.08,159.61,240
44,20,12,166,3.94,654.04,83.33,210
45,20,11,157,1.52,238.64,215.86,218
46,21,13,230,3.65,839.5,126.32,294
47,22,12,152,1.72,261.44,241.33,202
48,22,11,180,2.77,498.6,212.85,199
49,22,11,238,2.44,580.72,366.76,482
50,22,12,222,4.16,923.52,227.39,190
51,23,14,80,3.63,290.4,90.39,128
52,23,13,122,1.09,132.98,97.6,126
